cylinders,displacement,hp,weight_lbs,acceleration,year,Weight_kg,mpg_category,Vehicle_age,origin_europe,origin_japan,origin_usa,miles_per_gallon
8.0,307.0,130.0,3504.0,12.0,1970,1589.386368,Low,56,False,False,True,18.0
8.0,350.0,165.0,3693.0,11.5,1970,1675.115256,Low,56,False,False,True,15.0
8.0,318.0,150.0,3436.0,11.0,1970,1558.542112,Low,56,False,False,True,18.0
8.0,304.0,150.0,3433.0,12.0,1970,1557.1813359999999,Low,56,False,False,True,16.0
5.445569620253164,302.0,140.0,3449.0,10.5,1970,1564.4388079999999,Low,56,False,False,True,17.0
8.0,429.0,198.0,4341.0,10.0,1970,1969.042872,Low,56,False,False,True,15.0
8.0,454.0,220.0,2965.0252525252527,9.0,1970,1344.9117343434343,Low,56,False,False,True,14.0
8.0,440.0,215.0,4312.0,8.5,1970,1955.888704,Low,56,False,False,True,14.0
8.0,455.0,104.3160621761658,4425.0,10.0,1970,2007.1446,Low,56,False,False,True,14.0
8.0,390.0,190.0,3850.0,8.5,1970,1746.3292,Low,56,False,False,True,15.0
8.0,383.0,170.0,3563.0,10.0,1970,1616.148296,Low,56,False,False,True,15.0
8.0,340.0,160.0,3609.0,8.0,1970,1637.013528,Low,56,False,False,True,14.0
5.445569620253164,400.0,150.0,3761.0,9.5,1970,1705.959512,Low,56,False,False,True,15.0
8.0,455.0,225.0,3086.0,10.0,1970,1399.784912,Low,56,False,False,True,14.0
4.0,113.0,95.0,2372.0,15.0,1970,1075.920224,Medium,56,False,True,False,24.0
6.0,198.0,95.0,2833.0,15.5,1970,1285.026136,Medium,56,False,False,True,22.0
6.0,199.0,97.0,2774.0,15.5,1970,1258.264208,Low,56,False,False,True,18.0
6.0,200.0,85.0,2587.0,16.0,1970,1173.442504,Medium,56,False,False,True,21.0
4.0,97.0,88.0,2130.0,14.5,1970,966.1509599999999,Medium,56,False,True,False,27.0
4.0,97.0,104.3160621761658,1835.0,20.5,1970,832.34132,Medium,56,True,False,False,26.0
4.0,110.0,87.0,2672.0,17.5,1970,1211.997824,Medium,56,True,False,False,25.0
4.0,107.0,90.0,2430.0,14.5,1970,1102.22856,Medium,56,True,False,False,24.0
4.0,104.0,95.0,2375.0,17.5,1970,1077.281,Medium,56,True,False,False,25.0
4.0,121.0,113.0,2234.0,15.5,1970,1013.324528,Medium,56,True,False,False,26.0
6.0,199.0,90.0,2648.0,15.0,1970,1201.111616,Medium,56,False,False,True,21.0
8.0,360.0,215.0,4615.0,14.0,1970,2093.32708,Low,56,False,False,True,10.0
8.0,307.0,200.0,4376.0,15.0,1970,1984.918592,Low,56,False,False,True,10.0
8.0,318.0,210.0,4382.0,13.5,1970,1987.640144,Low,56,False,False,True,11.0
8.0,304.0,193.0,4732.0,18.5,1970,2146.397344,Low,56,False,False,True,9.0
4.0,97.0,88.0,2130.0,14.5,1971,966.1509599999999,Medium,55,False,True,False,27.0
4.0,140.0,90.0,2264.0,15.5,1971,1026.932288,Medium,55,False,False,True,28.0
4.0,113.0,95.0,2228.0,14.0,1971,1010.602976,Medium,55,False,True,False,25.0
4.0,98.0,104.3160621761658,2046.0,19.0,1971,928.049232,Medium,55,False,False,True,25.0
6.0,232.0,100.0,2634.0,13.0,1971,1194.761328,Low,55,False,False,True,19.0
6.0,225.0,105.0,3439.0,15.5,1971,1559.902888,Low,55,False,False,True,16.0
6.0,250.0,100.0,3329.0,15.5,1971,1510.007768,Low,55,False,False,True,17.0
6.0,250.0,88.0,3302.0,15.5,1971,1497.760784,Low,55,False,False,True,19.0
6.0,232.0,100.0,3288.0,15.5,1971,1491.410496,Low,55,False,False,True,18.0
8.0,350.0,165.0,4209.0,12.0,1971,1909.1687279999999,Low,55,False,False,True,14.0
8.0,400.0,175.0,4464.0,11.5,1971,2024.834688,Low,55,False,False,True,14.0
8.0,351.0,153.0,4154.0,13.5,1971,1884.221168,Low,55,False,False,True,14.0
8.0,318.0,150.0,4096.0,13.0,1971,1857.912832,Low,55,False,False,True,14.0
8.0,383.0,180.0,4955.0,11.5,1971,2247.54836,Low,55,False,False,True,12.0
8.0,400.0,170.0,4746.0,12.0,1971,2152.747632,Low,55,False,False,True,13.0
8.0,400.0,175.0,5140.0,12.0,1971,2331.46288,Low,55,False,False,True,13.0
6.0,258.0,110.0,2962.0,13.5,1971,1343.539504,Low,55,False,False,True,18.0
4.0,140.0,72.0,2408.0,19.0,1971,1092.249536,Medium,55,False,False,True,22.0
6.0,250.0,100.0,3282.0,15.0,1971,1488.688944,Low,55,False,False,True,19.0
6.0,250.0,88.0,3139.0,14.5,1971,1423.825288,Low,55,False,False,True,18.0
4.0,122.0,86.0,2220.0,14.0,1971,1006.97424,Medium,55,False,False,True,23.0
4.0,116.0,90.0,2123.0,14.0,1971,962.975816,Medium,55,True,False,False,28.0
4.0,79.0,70.0,2074.0,19.5,1971,940.749808,High,55,True,False,False,30.0
4.0,88.0,76.0,2065.0,14.5,1971,936.66748,High,55,True,False,False,30.0
4.0,71.0,65.0,1773.0,19.0,1971,804.218616,High,55,False,True,False,31.0
4.0,72.0,69.0,1613.0,18.0,1971,731.643896,High,55,False,True,False,35.0
4.0,97.0,60.0,1834.0,19.0,1971,831.887728,Medium,55,True,False,False,27.0
4.0,91.0,70.0,1955.0,20.5,1971,886.7723599999999,Medium,55,False,False,True,26.0
4.0,113.0,95.0,2278.0,15.5,1972,1033.282576,Medium,54,False,True,False,24.0
4.0,97.5,80.0,2126.0,17.0,1972,964.336592,Medium,54,False,False,True,25.0
4.0,97.0,54.0,2254.0,23.5,1972,1022.3963679999999,Medium,54,True,False,False,23.0
4.0,140.0,90.0,2408.0,19.5,1972,1092.249536,Medium,54,False,False,True,20.0
4.0,122.0,86.0,2226.0,16.5,1972,1009.695792,Medium,54,False,False,True,21.0
8.0,350.0,165.0,4274.0,12.0,1972,1938.652208,Low,54,False,False,True,13.0
8.0,400.0,175.0,4385.0,12.0,1972,1989.00092,Low,54,False,False,True,14.0
8.0,318.0,150.0,4135.0,13.5,1972,1875.60292,Low,54,False,False,True,15.0
8.0,351.0,153.0,4129.0,13.0,1972,1872.881368,Low,54,False,False,True,14.0
8.0,304.0,150.0,3672.0,11.5,1972,1665.589824,Low,54,False,False,True,17.0
8.0,429.0,208.0,4633.0,11.0,1972,2101.491736,Low,54,False,False,True,11.0
8.0,350.0,155.0,4502.0,13.5,1972,2042.071184,Low,54,False,False,True,13.0
8.0,350.0,160.0,4456.0,13.5,1972,2021.205952,Low,54,False,False,True,12.0
8.0,400.0,190.0,4422.0,12.5,1972,2005.7838239999999,Low,54,False,False,True,13.0
3.0,70.0,97.0,2330.0,13.5,1972,1056.86936,Low,54,False,True,False,19.0
8.0,304.0,150.0,3892.0,12.5,1972,1765.380064,Low,54,False,False,True,15.0
8.0,307.0,130.0,4098.0,14.0,1972,1858.820016,Low,54,False,False,True,13.0
8.0,302.0,140.0,4294.0,16.0,1972,1947.724048,Low,54,False,False,True,13.0
8.0,318.0,150.0,4077.0,14.0,1972,1849.294584,Low,54,False,False,True,14.0
4.0,121.0,112.0,2933.0,14.5,1972,1330.385336,Low,54,True,False,False,18.0
4.0,121.0,76.0,2511.0,18.0,1972,1138.969512,Medium,54,True,False,False,22.0
4.0,120.0,87.0,2979.0,19.5,1972,1351.250568,Medium,54,True,False,False,21.0
4.0,96.0,69.0,2189.0,18.0,1972,992.912888,Medium,54,True,False,False,26.0
4.0,122.0,86.0,2395.0,16.0,1972,1086.35284,Medium,54,False,False,True,22.0
4.0,97.0,92.0,2288.0,17.0,1972,1037.818496,Medium,54,False,True,False,28.0
4.0,120.0,97.0,2506.0,14.5,1972,1136.701552,Medium,54,False,True,False,23.0
4.0,98.0,80.0,2164.0,15.0,1972,981.573088,Medium,54,False,False,True,28.0
4.0,97.0,88.0,2100.0,16.5,1972,952.5432,Medium,54,False,True,False,27.0
8.0,350.0,175.0,4100.0,13.0,1973,1859.7272,Low,53,False,False,True,13.0
8.0,304.0,150.0,3672.0,11.5,1973,1665.589824,Low,53,False,False,True,14.0
8.0,350.0,145.0,3988.0,13.0,1973,1808.924896,Low,53,False,False,True,13.0
8.0,302.0,137.0,4042.0,14.5,1973,1833.418864,Low,53,False,False,True,14.0
8.0,318.0,150.0,3777.0,12.5,1973,1713.216984,Low,53,False,False,True,15.0
8.0,429.0,198.0,4952.0,11.5,1973,2246.187584,Low,53,False,False,True,12.0
8.0,400.0,150.0,4464.0,12.0,1973,2024.834688,Low,53,False,False,True,13.0
8.0,351.0,158.0,4363.0,13.0,1973,1979.021896,Low,53,False,False,True,13.0
8.0,318.0,150.0,4237.0,14.5,1973,1921.869304,Low,53,False,False,True,14.0
8.0,440.0,215.0,4735.0,11.0,1973,2147.75812,Low,53,False,False,True,13.0
8.0,455.0,225.0,4951.0,11.0,1973,2245.733992,Low,53,False,False,True,12.0
8.0,360.0,175.0,3821.0,11.0,1973,1733.1750319999999,Low,53,False,False,True,13.0
6.0,225.0,105.0,3121.0,16.5,1973,1415.660632,Low,53,False,False,True,18.0
6.0,250.0,100.0,3278.0,18.0,1973,1486.874576,Low,53,False,False,True,16.0
6.0,232.0,100.0,2945.0,16.0,1973,1335.82844,Low,53,False,False,True,18.0
6.0,250.0,88.0,3021.0,16.5,1973,1370.301432,Low,53,False,False,True,18.0
6.0,198.0,95.0,2904.0,16.0,1973,1317.231168,Medium,53,False,False,True,23.0
4.0,97.0,46.0,1950.0,21.0,1973,884.5044,Medium,53,True,False,False,26.0
8.0,400.0,150.0,4997.0,14.0,1973,2266.599224,Low,53,False,False,True,11.0
8.0,400.0,167.0,4906.0,12.5,1973,2225.322352,Low,53,False,False,True,12.0
8.0,360.0,170.0,4654.0,13.0,1973,2111.017168,Low,53,False,False,True,13.0
8.0,350.0,180.0,4499.0,12.5,1973,2040.710408,Low,53,False,False,True,12.0
6.0,232.0,100.0,2789.0,15.0,1973,1265.068088,Low,53,False,False,True,18.0
4.0,97.0,88.0,2279.0,19.0,1973,1033.736168,Medium,53,False,True,False,20.0
4.0,140.0,72.0,2401.0,19.5,1973,1089.074392,Medium,53,False,False,True,21.0
4.0,108.0,94.0,2379.0,16.5,1973,1079.095368,Medium,53,False,True,False,22.0
3.0,70.0,90.0,2124.0,13.5,1973,963.429408,Low,53,False,True,False,18.0
4.0,122.0,85.0,2310.0,18.5,1973,1047.79752,Low,53,False,False,True,19.0
6.0,155.0,107.0,2472.0,14.0,1973,1121.279424,Medium,53,False,False,True,21.0
4.0,98.0,90.0,2265.0,15.5,1973,1027.38588,Medium,53,True,False,False,26.0
8.0,350.0,145.0,4082.0,13.0,1973,1851.562544,Low,53,False,False,True,15.0
8.0,400.0,230.0,4278.0,9.5,1973,1940.466576,Low,53,False,False,True,16.0
4.0,68.0,49.0,1867.0,19.5,1973,846.856264,Medium,53,True,False,False,29.0
4.0,116.0,75.0,2158.0,15.5,1973,978.851536,Medium,53,True,False,False,24.0
4.0,114.0,91.0,2582.0,14.0,1973,1171.174544,Medium,53,True,False,False,20.0
4.0,121.0,112.0,2868.0,15.5,1973,1300.901856,Low,53,True,False,False,19.0
8.0,318.0,150.0,3399.0,11.0,1973,1541.759208,Low,53,False,False,True,15.0
4.0,121.0,110.0,2660.0,14.0,1973,1206.55472,Medium,53,True,False,False,24.0
6.0,156.0,122.0,2807.0,13.5,1973,1273.232744,Medium,53,False,True,False,20.0
8.0,350.0,180.0,3664.0,11.0,1973,1661.961088,Low,53,False,False,True,11.0
6.0,198.0,95.0,3102.0,16.5,1974,1407.042384,Medium,52,False,False,True,20.0
6.0,200.0,104.3160621761658,2875.0,17.0,1974,1304.077,Medium,52,False,False,True,21.0
6.0,232.0,104.3160621761658,2901.0,16.0,1974,1315.870392,Low,52,False,False,True,19.0
6.0,250.0,100.0,3336.0,17.0,1974,1513.182912,Low,52,False,False,True,15.0
4.0,79.0,67.0,1950.0,19.0,1974,884.5044,High,52,False,True,False,31.0
4.0,122.0,80.0,2451.0,16.5,1974,1111.753992,Medium,52,False,False,True,26.0
4.0,71.0,104.3160621761658,1836.0,15.5,1974,832.794912,High,52,False,True,False,32.0
4.0,140.0,75.0,2542.0,17.0,1974,1153.030864,Medium,52,False,False,True,25.0
6.0,250.0,100.0,3781.0,17.0,1974,1715.031352,Low,52,False,False,True,16.0
6.0,258.0,110.0,3632.0,18.0,1974,1647.446144,Low,52,False,False,True,16.0
6.0,225.0,105.0,3613.0,16.5,1974,1638.827896,Low,52,False,False,True,18.0
8.0,302.0,104.3160621761658,4141.0,14.0,1974,1878.324472,Low,52,False,False,True,16.0
8.0,350.0,150.0,4699.0,14.5,1974,2131.428808,Low,52,False,False,True,13.0
8.0,318.0,150.0,4457.0,13.5,1974,2021.6595439999999,Low,52,False,False,True,14.0
8.0,302.0,140.0,4638.0,16.0,1974,2103.759696,Low,52,False,False,True,14.0
8.0,304.0,150.0,4257.0,15.5,1974,1930.941144,Low,52,False,False,True,14.0
4.0,98.0,83.0,2219.0,16.5,1974,1006.5206479999999,Medium,52,True,False,False,29.0
4.0,79.0,67.0,1963.0,15.5,1974,890.4010959999999,Medium,52,True,False,False,26.0
4.0,97.0,78.0,2300.0,14.5,1974,1043.2616,Medium,52,True,False,False,26.0
4.0,76.0,52.0,1649.0,16.5,1974,747.973208,High,52,False,True,False,31.0
4.0,83.0,61.0,2003.0,19.0,1974,908.544776,High,52,False,True,False,32.0
4.0,90.0,75.0,2125.0,14.5,1974,963.883,Medium,52,False,False,True,28.0
4.0,90.0,75.0,2108.0,15.5,1974,956.171936,Medium,52,True,False,False,24.0
4.0,116.0,75.0,2246.0,14.0,1974,1018.7676319999999,Medium,52,True,False,False,26.0
4.0,120.0,97.0,2489.0,15.0,1974,1128.990488,Medium,52,False,True,False,24.0
4.0,108.0,93.0,2391.0,15.5,1974,1084.538472,Medium,52,False,True,False,26.0
4.0,79.0,67.0,2000.0,16.0,1974,907.184,High,52,True,False,False,31.0
6.0,225.0,95.0,3264.0,16.0,1975,1480.524288,Low,51,False,False,True,19.0
6.0,250.0,105.0,3459.0,16.0,1975,1568.974728,Low,51,False,False,True,18.0
6.0,250.0,72.0,3432.0,21.0,1975,1556.727744,Low,51,False,False,True,15.0
6.0,250.0,72.0,3158.0,19.5,1975,1432.443536,Low,51,False,False,True,15.0
8.0,400.0,170.0,4668.0,11.5,1975,2117.367456,Low,51,False,False,True,16.0
8.0,350.0,145.0,4440.0,14.0,1975,2013.94848,Low,51,False,False,True,15.0
8.0,318.0,150.0,4498.0,14.5,1975,2040.256816,Low,51,False,False,True,16.0
8.0,351.0,148.0,4657.0,13.5,1975,2112.377944,Low,51,False,False,True,14.0
6.0,231.0,110.0,3907.0,21.0,1975,1772.1839439999999,Low,51,False,False,True,17.0
6.0,250.0,105.0,3897.0,18.5,1975,1767.648024,Low,51,False,False,True,16.0
6.0,258.0,110.0,3730.0,19.0,1975,1691.89816,Low,51,False,False,True,15.0
6.0,225.0,95.0,3785.0,19.0,1975,1716.84572,Low,51,False,False,True,18.0
6.0,231.0,110.0,3039.0,15.0,1975,1378.466088,Medium,51,False,False,True,21.0
8.0,262.0,110.0,3221.0,13.5,1975,1461.019832,Medium,51,False,False,True,20.0
8.0,302.0,129.0,3169.0,12.0,1975,1437.4330479999999,Low,51,False,False,True,13.0
4.0,97.0,75.0,2171.0,16.0,1975,984.748232,Medium,51,False,True,False,29.0
4.0,140.0,83.0,2639.0,17.0,1975,1197.029288,Medium,51,False,False,True,23.0
6.0,232.0,100.0,2914.0,16.0,1975,1321.767088,Medium,51,False,False,True,20.0
4.0,140.0,78.0,2592.0,18.5,1975,1175.710464,Medium,51,False,False,True,23.0
4.0,134.0,96.0,2702.0,13.5,1975,1225.605584,Medium,51,False,True,False,24.0
4.0,90.0,71.0,2223.0,16.5,1975,1008.335016,Medium,51,True,False,False,25.0
4.0,119.0,97.0,2545.0,17.0,1975,1154.39164,Medium,51,False,True,False,24.0
6.0,171.0,97.0,2984.0,14.5,1975,1353.518528,Low,51,False,False,True,18.0
4.0,90.0,70.0,1937.0,14.0,1975,878.607704,Medium,51,True,False,False,29.0
6.0,232.0,90.0,3211.0,17.0,1975,1456.483912,Low,51,False,False,True,19.0
4.0,115.0,95.0,2694.0,15.0,1975,1221.976848,Medium,51,True,False,False,23.0
4.0,120.0,88.0,2957.0,17.0,1975,1341.271544,Medium,51,True,False,False,23.0
4.0,121.0,98.0,2945.0,14.5,1975,1335.82844,Medium,51,True,False,False,22.0
4.0,121.0,115.0,2671.0,13.5,1975,1211.544232,Medium,51,True,False,False,25.0
4.0,91.0,53.0,1795.0,17.5,1975,814.19764,High,51,False,True,False,33.0
4.0,107.0,86.0,2464.0,15.5,1976,1117.650688,Medium,50,True,False,False,28.0
4.0,116.0,81.0,2220.0,16.9,1976,1006.97424,Medium,50,True,False,False,25.0
4.0,140.0,92.0,2572.0,14.9,1976,1166.638624,Medium,50,False,False,True,25.0
4.0,98.0,79.0,2255.0,17.7,1976,1022.84996,Medium,50,False,False,True,26.0
4.0,101.0,83.0,2202.0,15.3,1976,998.809584,Medium,50,True,False,False,27.0
8.0,305.0,140.0,4215.0,13.0,1976,1911.89028,Low,50,False,False,True,17.5
8.0,318.0,150.0,4190.0,13.0,1976,1900.5504799999999,Low,50,False,False,True,16.0
8.0,304.0,120.0,3962.0,13.9,1976,1797.131504,Low,50,False,False,True,15.5
8.0,351.0,152.0,4215.0,12.8,1976,1911.89028,Low,50,False,False,True,14.5
6.0,225.0,100.0,3233.0,15.4,1976,1466.462936,Medium,50,False,False,True,22.0
6.0,250.0,105.0,3353.0,14.5,1976,1520.893976,Medium,50,False,False,True,22.0
6.0,200.0,81.0,3012.0,17.6,1976,1366.219104,Medium,50,False,False,True,24.0
6.0,232.0,90.0,3085.0,17.6,1976,1399.33132,Medium,50,False,False,True,22.5
4.0,85.0,52.0,2035.0,22.2,1976,923.05972,Medium,50,False,False,True,29.0
4.0,98.0,60.0,2164.0,22.1,1976,981.573088,Medium,50,False,False,True,24.5
4.0,90.0,70.0,1937.0,14.2,1976,878.607704,Medium,50,True,False,False,29.0
4.0,91.0,53.0,1795.0,17.4,1976,814.19764,High,50,False,True,False,33.0
6.0,225.0,100.0,3651.0,17.7,1976,1656.064392,Medium,50,False,False,True,20.0
6.0,250.0,78.0,3574.0,21.0,1976,1621.137808,Low,50,False,False,True,18.0
6.0,250.0,110.0,3645.0,16.2,1976,1653.34284,Low,50,False,False,True,18.5
6.0,258.0,95.0,3193.0,17.8,1976,1448.319256,Low,50,False,False,True,17.5
4.0,97.0,71.0,1825.0,12.2,1976,827.8054,Medium,50,True,False,False,29.5
4.0,85.0,70.0,1990.0,17.0,1976,902.6480799999999,High,50,False,True,False,32.0
4.0,97.0,75.0,2155.0,16.4,1976,977.49076,Medium,50,False,True,False,28.0
4.0,140.0,72.0,2565.0,13.6,1976,1163.46348,Medium,50,False,False,True,26.5
4.0,130.0,102.0,3150.0,15.7,1976,1428.8147999999999,Medium,50,True,False,False,20.0
8.0,318.0,150.0,3940.0,13.2,1976,1787.15248,Low,50,False,False,True,13.0
4.0,120.0,88.0,3270.0,21.9,1976,1483.24584,Low,50,True,False,False,19.0
6.0,156.0,108.0,2930.0,15.5,1976,1329.02456,Low,50,False,True,False,19.0
6.0,168.0,120.0,3820.0,16.7,1976,1732.72144,Low,50,True,False,False,16.5
8.0,350.0,180.0,4380.0,12.1,1976,1986.73296,Low,50,False,False,True,16.5
8.0,350.0,145.0,4055.0,12.0,1976,1839.31556,Low,50,False,False,True,13.0
8.0,302.0,130.0,3870.0,15.0,1976,1755.40104,Low,50,False,False,True,13.0
8.0,318.0,150.0,3755.0,14.0,1976,1703.23796,Low,50,False,False,True,13.0
4.0,98.0,68.0,2045.0,18.5,1977,927.59564,High,49,False,True,False,31.5
4.0,111.0,80.0,2155.0,14.8,1977,977.49076,High,49,False,False,True,30.0
4.0,79.0,58.0,1825.0,18.6,1977,827.8054,High,49,True,False,False,36.0
4.0,122.0,96.0,2300.0,15.5,1977,1043.2616,Medium,49,False,False,True,25.5
4.0,85.0,70.0,1945.0,16.8,1977,882.23644,High,49,False,True,False,33.5
8.0,305.0,145.0,3880.0,12.5,1977,1759.93696,Low,49,False,False,True,17.5
8.0,260.0,110.0,4060.0,19.0,1977,1841.58352,Low,49,False,False,True,17.0
8.0,318.0,145.0,4140.0,13.7,1977,1877.87088,Low,49,False,False,True,15.5
8.0,302.0,130.0,4295.0,14.9,1977,1948.1776399999999,Low,49,False,False,True,15.0
6.0,250.0,110.0,3520.0,16.4,1977,1596.64384,Low,49,False,False,True,17.5
6.0,231.0,105.0,3425.0,16.9,1977,1553.5526,Medium,49,False,False,True,20.5
6.0,225.0,100.0,3630.0,17.7,1977,1646.53896,Low,49,False,False,True,19.0
6.0,250.0,98.0,3525.0,19.0,1977,1598.9118,Low,49,False,False,True,18.5
8.0,400.0,180.0,4220.0,11.1,1977,1914.15824,Low,49,False,False,True,16.0
8.0,350.0,170.0,4165.0,11.4,1977,1889.21068,Low,49,False,False,True,15.5
8.0,400.0,190.0,4325.0,12.2,1977,1961.7854,Low,49,False,False,True,15.5
8.0,351.0,149.0,4335.0,14.5,1977,1966.32132,Low,49,False,False,True,16.0
4.0,97.0,78.0,1940.0,14.5,1977,879.96848,Medium,49,True,False,False,29.0
4.0,151.0,88.0,2740.0,16.0,1977,1242.84208,Medium,49,False,False,True,24.5
4.0,97.0,75.0,2265.0,18.2,1977,1027.38588,Medium,49,False,True,False,26.0
4.0,140.0,89.0,2755.0,15.8,1977,1249.64596,Medium,49,False,False,True,25.5
4.0,98.0,63.0,2051.0,17.0,1977,930.317192,High,49,False,False,True,30.5
4.0,98.0,83.0,2075.0,15.9,1977,941.2034,High,49,False,False,True,33.5
4.0,97.0,67.0,1985.0,16.4,1977,900.38012,High,49,False,True,False,30.0
4.0,97.0,78.0,2190.0,14.1,1977,993.36648,High,49,True,False,False,30.5
6.0,146.0,97.0,2815.0,14.5,1977,1276.86148,Medium,49,False,True,False,22.0
4.0,121.0,110.0,2600.0,12.8,1977,1179.3392,Medium,49,True,False,False,21.5
3.0,80.0,110.0,2720.0,13.5,1977,1233.77024,Medium,49,False,True,False,21.5
4.0,90.0,48.0,1985.0,21.5,1978,900.38012,High,48,True,False,False,43.1
4.0,98.0,66.0,1800.0,14.4,1978,816.4656,High,48,False,False,True,36.1
4.0,78.0,52.0,1985.0,19.4,1978,900.38012,High,48,False,True,False,32.8
4.0,85.0,70.0,2070.0,18.6,1978,938.93544,High,48,False,True,False,39.4
4.0,91.0,60.0,1800.0,16.4,1978,816.4656,High,48,False,True,False,36.1
8.0,260.0,110.0,3365.0,15.5,1978,1526.33708,Low,48,False,False,True,19.9
8.0,318.0,140.0,3735.0,13.2,1978,1694.16612,Low,48,False,False,True,19.4
8.0,302.0,139.0,3570.0,12.8,1978,1619.32344,Medium,48,False,False,True,20.2
6.0,231.0,105.0,3535.0,19.2,1978,1603.44772,Low,48,False,False,True,19.2
6.0,200.0,95.0,3155.0,18.2,1978,1431.08276,Medium,48,False,False,True,20.5
6.0,200.0,85.0,2965.0,15.8,1978,1344.90028,Medium,48,False,False,True,20.2
4.0,140.0,88.0,2720.0,15.4,1978,1233.77024,Medium,48,False,False,True,25.1
6.0,225.0,100.0,3430.0,17.2,1978,1555.82056,Medium,48,False,False,True,20.5
6.0,232.0,90.0,3210.0,17.2,1978,1456.03032,Low,48,False,False,True,19.4
6.0,231.0,105.0,3380.0,15.8,1978,1533.14096,Medium,48,False,False,True,20.6
6.0,200.0,85.0,3070.0,16.7,1978,1392.52744,Medium,48,False,False,True,20.8
6.0,225.0,110.0,3620.0,18.7,1978,1642.00304,Low,48,False,False,True,18.6
6.0,258.0,120.0,3410.0,15.1,1978,1546.74872,Low,48,False,False,True,18.1
8.0,305.0,145.0,3425.0,13.2,1978,1553.5526,Low,48,False,False,True,19.2
6.0,231.0,165.0,3445.0,13.4,1978,1562.62444,Low,48,False,False,True,17.7
8.0,302.0,139.0,3205.0,11.2,1978,1453.76236,Low,48,False,False,True,18.1
8.0,146.0,140.0,4080.0,13.7,1978,1850.65536,Low,48,False,False,True,17.5
4.0,98.0,68.0,2155.0,16.5,1978,977.49076,High,48,False,False,True,30.0
4.0,134.0,95.0,2560.0,14.2,1978,1161.19552,Medium,48,False,True,False,27.5
4.0,119.0,97.0,2300.0,14.7,1978,1043.2616,Medium,48,False,True,False,27.2
5.445569620253164,105.0,75.0,2230.0,14.5,1978,1011.51016,High,48,False,False,True,30.9
4.0,134.0,95.0,2515.0,14.8,1978,1140.78388,Medium,48,False,True,False,21.1
4.0,146.0,105.0,2745.0,16.7,1978,1245.11004,Medium,48,False,False,True,23.2
4.0,151.0,85.0,2855.0,17.6,1978,1295.00516,Medium,48,False,False,True,23.8
4.0,119.0,97.0,2405.0,14.9,1978,1090.88876,Medium,48,False,True,False,23.9
5.0,131.0,103.0,2830.0,15.9,1978,1283.66536,Medium,48,True,False,False,20.3
6.0,163.0,125.0,3140.0,13.6,1978,1424.27888,Low,48,True,False,False,17.0
4.0,121.0,115.0,2795.0,15.7,1978,1267.78964,Medium,48,True,False,False,21.6
6.0,163.0,133.0,3410.0,15.8,1978,1546.74872,Low,48,True,False,False,16.2
4.0,89.0,71.0,1990.0,14.9,1978,902.6480799999999,High,48,True,False,False,31.5
4.0,98.0,68.0,2135.0,16.6,1978,968.41892,Medium,48,False,True,False,29.5
6.0,231.0,115.0,3245.0,15.4,1979,1471.90604,Medium,47,False,False,True,21.5
6.0,200.0,85.0,2990.0,18.2,1979,1356.24008,Low,47,False,False,True,19.8
